Year,country,iso_code,population,gdp,energy_per_capita,Temperature anomaly,co2,co2_per_capita,co2_including_luc,land_use_change_co2,coal_co2,oil_co2,gas_co2,share_global_co2,temperature_change_from_co2,Continent
1999,Albania,ALB,3188598.0,13673692880.0,3659.295166015625,0.13750525,2.9861960411071777,0.9365231990814208,3.1063385009765625,0.1201425641775131,0.11005599796772,2.7917420864105225,0.0293479990214109,0.0120228007435798,0.000203603573027,Europe
2000,Albania,ALB,3166147.0,14736835655.0,6216.74560546875,-0.05555145,3.024925947189331,0.9553965926170348,3.001110076904297,-0.0238160006701946,0.069531001150608,2.839801073074341,0.0219570007175207,0.011857115663588,0.0002046827139565,Europe
2001,Albania,ALB,3147943.0,16103903904.0,6383.70654296875,-0.108230315,3.220655918121338,1.0230985879898071,3.1416234970092773,-0.0790324807167053,0.0806080028414726,3.125391960144043,0.0146559998393058,0.0125351529568433,0.0002058380632661,Europe
2002,Albania,ALB,3134095.0,17037279441.0,7213.591796875,-0.040483575,3.748271942138672,1.1959662437438965,3.5495731830596924,-0.1986987143754959,0.0842719972133636,3.6383519172668457,0.0256479997187852,0.0142707964405417,0.0002071757189696,Europe
2003,Albania,ALB,3118093.0,18171076149.0,7441.47900390625,0.061526537,4.303499221801758,1.380170226097107,4.626370429992676,0.3228716850280761,0.0842719972133636,3.8911678791046143,0.0256479997187852,0.0155626758933067,0.0002090141060762,Europe
2004,Albania,ALB,3098662.0,19346601376.0,8072.5439453125,-0.43136677,4.176683902740479,1.3478991985321045,3.3689184188842773,-0.8077654242515564,0.0842719972133636,3.7592639923095694,0.0329760015010833,0.0145986741408705,0.0002104004088323,Europe
2005,Albania,ALB,3076156.0,20562850324.0,8044.3779296875,-1.0745565,4.261413097381592,1.385304570198059,6.837168216705322,2.5757553577423096,0.0732159987092018,3.9097399711608887,0.0219650007784366,0.0143971759825944,0.0002132383233401,Europe
2006,Albania,ALB,3050805.0,21889974405.0,7711.4033203125,-0.81884193,3.910715103149414,1.2818633317947388,4.385862350463867,0.4751474857330322,0.0732100009918212,3.539714097976685,0.0219630002975463,0.0127825569361448,0.0002149670908693,Europe
2007,Albania,ALB,3022887.0,23259283502.0,7655.49658203125,0.27668035,4.003596782684326,1.3244282007217407,6.684326171875,2.680728912353516,0.0732799991965293,3.429503917694092,0.0329760015010833,0.0127101317048072,0.0002181446470785,Europe
2008,Albania,ALB,2992933.0,25006230217.0,7983.4931640625,0.13041376,4.448338985443115,1.4862807989120483,6.541839122772217,2.093499660491944,0.1025919988751411,3.8471999168396,0.0146559998393058,0.0138795198872685,0.0002210029342677,Europe
2009,Albania,ALB,2961487.0,25821550979.0,8136.837890625,0.19552816,4.369912147521973,1.4755803346633911,5.481935977935791,1.112023949623108,0.4067040085792541,3.3598880767822266,0.0183199997991323,0.0138670075684785,0.0002233328559668,Europe
2010,Albania,ALB,2928731.0,26747818608.0,7582.63330078125,0.11850534,4.816841125488281,1.6446853876113892,5.566202640533447,0.7493613362312317,0.4470080137252807,3.5064480304718018,0.0256479997187852,0.0144573161378502,0.000225707568461,Europe
2011,Albania,ALB,2911499.0,27431048326.0,8232.201171875,-0.022100529,5.17544412612915,1.7775874137878418,6.029082298278809,0.8536387085914612,0.5862399935722351,3.5833919048309326,0.0293119996786117,0.0150099927559494,0.0002282957866555,Europe
2012,Albania,ALB,2910003.0,27819814441.0,7727.736328125,0.4067483,4.93000602722168,1.6941584348678589,5.665590286254883,0.7355846762657166,0.6856970191001892,3.175473928451538,0.0293349996209144,0.0141039714217185,0.000230753692449,Europe
2013,Albania,ALB,2907571.0,28098562696.0,9065.3984375,0.5392049,5.346088886260986,1.83867871761322,5.947424411773682,0.6013357043266296,0.8463839888572693,3.3379039764404297,0.0329760015010833,0.0151551086455583,0.0002333698794245,Europe
2014,Albania,ALB,2903748.0,28597169040.0,8866.90234375,0.4972982,6.072488784790039,2.091259002685547,6.733584403991699,0.6610954999923706,1.0955359935760498,3.861855983734131,0.0586239993572235,0.0171221476048231,0.0002363491948926,Europe
2015,Albania,ALB,2898634.0,29231663899.0,8292.74609375,0.58233005,4.712143898010254,1.625643014907837,5.963399887084961,1.251255989074707,0.3224320113658905,3.3379039764404297,0.0622880011796951,0.0133098158985376,0.0002389702422078,Europe
2016,Albania,ALB,2897868.0,30200694449.0,9234.7236328125,0.5396488,4.55503511428833,1.5718573331832886,5.233314514160156,0.67827969789505,0.190528005361557,3.36355209350586,0.0806080028414726,0.0128699364140629,0.0002412533212918,Europe
2017,Albania,ALB,2898245.0,31348975722.0,10106.2119140625,0.4781743,5.343791961669922,1.8438026905059812,6.116896152496338,0.7731040120124817,0.4396800100803375,3.7775840759277344,0.0842719972133636,0.0148543426766991,0.0002438725496176,Europe
2018,Albania,ALB,2894229.0,32609000823.0,9672.0625,1.0687194,5.194859981536865,1.7949029207229614,5.8552961349487305,0.6604359745979309,0.8470060229301453,3.3330230712890625,0.0733340010046958,0.0141418287530541,0.0002463209384586,Europe
2019,Albania,ALB,2885011.0,33289747424.0,8630.005859375,0.88764316,4.94052791595459,1.7124814987182615,5.226393699645996,0.2858652770519256,0.4506720006465912,3.425839900970459,0.1319040060043335,0.0133216101676225,0.000248557596933,Europe
2020,Albania,ALB,2871950.0,32130726850.0,7352.82080078125,0.7086083,4.865033149719238,1.693982481956482,4.858584403991699,-0.0064486400224268,0.5715839862823486,2.8762400150299072,0.0952640026807785,0.0138375367969274,0.0002506499877199,Europe
2021,Albania,ALB,2849641.0,34866976278.0,8944.8876953125,0.49169007,5.1370110511779785,1.8026870489120483,5.109897613525391,-0.0271135997027158,0.8610399961471558,2.861583948135376,0.1025919988751411,0.0139339519664645,0.0002528693294152,Europe
2022,Albania,ALB,2827614.0,36171005594.0,9147.205078125,0.8681752,4.498281955718994,1.590840220451355,4.319808483123779,-0.1784734427928924,0.5422719717025757,2.946038007736206,0.0879359990358352,0.0119865406304597,0.0002547258918639,Europe
1972,Algeria,DZA,14427075.0,55293908511.0,3094.726318359375,-1.5390326,28.308164596557617,1.9621554613113403,39.10652160644531,10.798357963562012,0.648527979850769,7.258383750915527,3.1363840103149414,0.1744770258665084,0.0001973699982045,Africa
1973,Algeria,DZA,14771150.0,57097847688.0,3605.046142578125,-1.3405975,38.25379180908203,2.589763879776001,47.14764022827149,8.89384651184082,0.8207359910011292,9.376175880432127,3.14737606048584,0.2240039557218551,0.0002153095119865,Africa
1974,Algeria,DZA,15133508.0,60577884755.0,3892.615966796875,-1.9339815,31.847248077392575,2.104419469833374,57.9936637878418,26.146413803100582,0.6998239755630493,9.60700798034668,2.451215982437134,0.1873597502708435,0.0002347316622035,Africa
1975,Algeria,DZA,15678603.0,64883812851.0,4488.26220703125,-1.6665524,31.96415901184082,2.0387122631073,61.636661529541016,29.67250061035156,0.791333019733429,11.291154861450195,4.458578109741211,0.188152015209198,0.0002548948104958,Africa
1976,Algeria,DZA,16409171.0,69150103648.0,5003.42822265625,-2.07426,39.06772232055664,2.3808469772338867,52.36822891235352,13.30050277709961,0.5861849784851074,11.034934997558594,6.063352108001709,0.2187137454748153,0.0002743127115536,Africa
1977,Algeria,DZA,17015988.0,75438035015.0,5301.63818359375,-0.8156561,41.75303268432617,2.453752994537353,49.86974334716797,8.11671257019043,0.6045600175857544,13.868240356445312,3.6053760051727295,0.2274373173713684,0.0002936379169113,Africa
1978,Algeria,DZA,17506977.0,85103913585.0,6475.21728515625,-1.0993968,62.29896545410156,3.5585219860076904,66.62299346923828,4.324032783508301,0.5715839862823486,13.164752006530762,23.85630416870117,0.3274628520011902,0.0003212633600924,Africa
1979,Algeria,DZA,18036655.0,92753892187.0,8235.462890625,-1.0208081,45.30335998535156,2.511738538742065,48.99641418457031,3.6930556297302246,0.8940160274505615,15.359487533569336,8.1670560836792,0.2322226017713546,0.0003414306847844,Africa
1980,Algeria,DZA,18607175.0,94481648187.0,9520.1416015625,-1.0126754,66.12361145019531,3.553662061691284,68.77286529541016,2.6492552757263184,1.6084959506988523,18.62044715881348,25.479455947875977,0.3406713902950287,0.0003712526522576,Africa
1981,Algeria,DZA,19220708.0,96860512464.0,11195.5380859375,-0.7423509,45.999271392822266,2.393214225769043,48.49650955200195,2.4972357749938965,1.909095048904419,18.156553268432617,11.16508960723877,0.2436433583498001,0.0003923752228729,Africa
